prod_name,sale_qty,sale_cost,sale
CLINIC PLUS SHIKAKAI SHAM 80M,1,35.46,38
CLINIC PLUS ST SCALP SH 80ML,20,917.07,1006
CLINIC PLUS STR & THICK 175ML,2,197.52,222
CLINIC PLUS STR & THICK 340ML,7,1377.41,1527
CLINIC PLUS STR &LG SHA 1L PK,16,23.74,32
CLINIC PLUS STR &LONG SHA 175,12,1154.28,1279.73
CLINIC PLUS STR &LONG SHA 80G,17,718.61,867
CLINIC PLUS STR &LONG SHA340M,8,1580.23,1752
CLINIC PLUS STRONG& LONG 650G,2,627.1,716
DABUR AMLA H OIL 100ML,5,216.23,230
DABUR AMLA H OIL 50ML,3,54.87,60
DABUR AMLA HAIR OIL 300ML,2,250.89,272
DABUR AMLA LITE OIL 200ML,2,165.67,178
DABUR ANMOL SHAMPOO 100ML,9,369.09,396
DABUR LAL TEL 200ML,1,160.72,178
DABUR LAL TEL 60ML,2,100,108
DABUR VATIKA AD HC LA  SH100M,7,287.1,308
DABUR VATIKA AYU SH 80ML,2,72.71,78
DABUR VATIKA D/C HAIR DEF 100,2,82.08,88
DABUR VATIKA D/C NAT CLEA 100,8,328.14,352
DABUR VATIKA EN COCON OIL 150,5,207.09,220
DABUR VATIKA HAIR OIL 150ML,3,264.54,288
DOVE CAR & PROT MLP 100G B3G1,8,1541.6,1672
DOVE COND HAIR FALL RESCU 180,2,282.18,316
DOVE CONDIT DAILY SHINE 20ML,154,228.34,308
DOVE CONDIT DAILY THERAP  90M,23,1800.78,2010
DOVE CONDIT DRYNESS CARE 80ML,10,599.62,670
DOVE DAM SOL DND CARE SMP180M,6,879.37,1002
DOVE DAND THERAPY SHAMP 80ML,6,476.18,528
DOVE DANDRUFF CARE SHAM 80ML,8,505.29,565
DOVE DANDRUFF CLEAN CONDI80ML,4,297.8,340
DOVE DANDRUFF CLEAN SHAM180ML,6,890.19,999
DOVE HAIR F RESCUE SHAM 40 ML,4,100.88,116
DOVE HIT RIT GROWHAI CON 180M,1,167.55,188
DOVE INTENSE REP SHAMPO 180ML,12,1746,1956
DOVE INTENSE REPAIR COND 75ML,17,1322.18,1489
DOVE OXYGEN MOIST SH 180 ML,12,1798.92,2016
DOVE SHAMP HAIR FAL RESCU180M,10,1472.38,1656
DOVE SHAMP HAIR FAL RESCU340M,3,833.31,930
DOVE SHAMP HAIR FAL RESCUE 80,13,785.07,871
DOVE SHAMP INTENSE REPAIR340M,1,277.77,308
DOVE SHAMP.INTENSE REPAIR 80G,19,1139.29,1269.65
DOVE SHAMPOO DAILY SHINE 180M,10,1428.69,1611
DOVE SHAMPOO DAILY SHINE 340M,2,554.66,620
DOVE SHAMPOO DAILY SHINE 80 M,23,1393.27,1550
DOVE SHAMPOO POUCH SACHET,80,288.2,400
GARNIER BL NAT 3.16 N BU CO20,6,198.78,231
GARNIER BL NAT 4.0 N BR CO 20,6,186.42,222
GARNIER BLACK NAT SHADE1 40ML,22,744.82,862
GARNIER BLACK NAT SHADE2 40ML,14,465.97,526
GARNIER BLACK NAT SHADE3 40ML,20,691.28,788
GARNIER CO NA BUR3.16 16+24G,1,76.29,88
GARNIER COL NAT LGT BRN 5 70M,2,360.62,414
GARNIER COL NAT MEN 3.16 BURG,1,98.57,113
GARNIER COL NAT N BLAC 1 SML,3,228.87,264
GODRE COLOUR SOFT NAT BLACK 1,10,133.93,150
GODREJ AIR SP COOL S BLUE 300,13,1740.7,2046
GODREJ AIR SP PET CR PINK 300,14,1870.26,2195
GODREJ COLOUR LIGHT BROWN 4,10,133.93,150
GODREJ EXP CR DR BROW 4.06 20,11,324.5,352
GODREJ EXP CR NAT BROW 1.0 20,16,357.21,384
GODREJ EXP ORG NAT BLACK HAIR,21,381.8,420
